[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1563653808.7261767
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\Desktop\prepareICE\practice\config\__init__.py first seen with mtime 1563665149.3732407
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\urls\utils.py first seen with mtime 1563653806.5680194
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\templatetags\static.py first seen with mtime 1563653805.894062
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\distutils\errors.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\http\server.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\http\response.py first seen with mtime 1563653805.1488497
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\distutils\util.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1563653820.605358
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1563653802.7915435
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\migrations\operations\utils.py first seen with mtime 1563653803.2320857
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\gzip.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1563653759.0455923
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1563653803.8236332
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1563653759.617462
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\distutils\dist.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\DLLs\_bz2.pyd first seen with mtime 1545624624.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1563653801.549638
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1563653805.4385123
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1563653803.3408833
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\urls\__init__.py first seen with mtime 1563653806.318531
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1563653803.7577493
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1563653803.805622
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\urllib\error.py first seen with mtime 1545621406.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1563653803.0376413
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1563653763.3505635
[2019-07-20 19:36:35] DEBUG [django.db.backends.execute:110] (0.003) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1563653801.3694034
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1563653803.9938867
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1563653805.803555
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1563653804.2542596
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1563653806.4302592
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1563653800.3506641
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\logging\handlers.py first seen with mtime 1545621404.0
